game_id,platform
1391280,Steam
1390290,Steam
1390340,Steam
1390350,Steam
1390370,Steam
1390380,Steam
1390390,Steam
1390410,Steam
1390490,Steam
1390520,Steam
1390560,Steam
1390580,Steam
1390600,Steam
1390670,Steam
1390690,Steam
1390740,Steam
1389890,Steam
1389980,Steam
1390000,Steam
1390010,Steam
1390020,Steam
1390040,Steam
1390070,Steam
1390080,Steam
1390120,Steam
1389510,Steam
1389530,Steam
1389540,Steam
1389550,Steam
1389560,Steam
1389580,Steam
1389610,Steam
1388910,Steam
1389630,Steam
1389650,Steam
1389710,Steam
1389730,Steam
1389740,Steam
1389750,Steam
1389780,Steam
1389830,Steam
1389840,Steam
1389850,Steam
1389000,Steam
1389010,Steam
1389020,Steam
1389030,Steam
1389040,Steam
1389070,Steam
1389090,Steam
1389130,Steam
1389160,Steam
1389170,Steam
1261650,Steam
1389180,Steam
1389190,Steam
1389200,Steam
1389260,Steam
1389270,Steam
1389300,Steam
1389360,Steam
1389380,Steam
1389410,Steam
1389420,Steam
1389430,Steam
1388510,Steam
1388520,Steam
1388530,Steam
1388570,Steam
1388580,Steam
1388590,Steam
1388650,Steam
1388670,Steam
1388690,Steam
1388700,Steam
1388720,Steam
1388740,Steam
1388760,Steam
1388770,Steam
1388790,Steam
1388860,Steam
1388870,Steam
1388880,Steam
1388900,Steam
1388940,Steam
1387950,Steam
1387970,Steam
1387980,Steam
1388010,Steam
1388030,Steam
1388110,Steam
1388130,Steam
1388140,Steam
1388150,Steam
1388160,Steam
1388230,Steam
1388260,Steam
1388280,Steam
1388310,Steam
1388320,Steam
1388330,Steam
1388350,Steam
1388370,Steam
1388380,Steam
1388390,Steam
1388400,Steam
1388420,Steam
1388430,Steam
1387460,Steam
1387480,Steam
1387510,Steam
1387570,Steam
1387580,Steam
1387590,Steam
1387610,Steam
1387620,Steam
1387830,Steam
1387870,Steam
1387900,Steam
1387910,Steam
1387010,Steam
1387150,Steam
1387170,Steam
1387200,Steam
1387250,Steam
1387290,Steam
